#,DomainName,DomainIPv6,WWWhostIPv6,MXIPv6,NSIPv6
1,google.com,1,1,1,0
2,facebook.com,1,1,0,0
3,youtube.com,1,1,1,0
4,yahoo.com,0,1,0,0
5,baidu.com,0,0,0,0
6,wikipedia.org,1,1,1,0
7,qq.com,0,0,0,0
8,live.com,0,0,0,1
9,taobao.com,0,0,0,0
10,linkedin.com,0,0,1,1
11,sina.com.cn,0,0,0,0
12,twitter.com,0,0,1,1
13,amazon.com,0,0,0,1
14,hao123.com,0,0,0,0
15,google.co.in,1,1,1,0
16,blogspot.com,1,1,0,0
17,weibo.com,0,0,0,0
18,163.com,0,0,0,0
19,wordpress.com,0,0,0,0
20,yahoo.co.jp,0,0,0,0
21,bing.com,0,0,0,0
22,tmall.com,0,0,0,0
23,360.cn,0,0,0,0
24,yandex.ru,0,0,1,1
25,vk.com,1,1,0,1
26,ebay.com,0,0,0,1
27,google.de,1,1,1,0
28,sohu.com,0,0,0,0
29,pinterest.com,0,0,1,0
30,ask.com,0,0,0,0
31,msn.com,0,0,0,1
32,google.co.uk,1,1,1,0
33,soso.com,0,0,0,0
34,google.fr,1,1,1,0
35,tumblr.com,0,0,1,1
36,google.co.jp,1,1,1,0
37,mail.ru,0,0,0,1
38,instagram.com,0,0,0,0
39,microsoft.com,0,0,0,1
40,google.com.br,1,1,1,0
41,xvideos.com,0,0,1,0
42,google.ru,1,1,1,0
43,paypal.com,0,0,0,1
44,imdb.com,0,0,0,1
45,apple.com,0,1,0,0
46,google.es,1,1,1,0
47,google.it,1,1,1,0
48,amazon.co.jp,0,0,0,1
49,craigslist.org,0,0,0,0
50,neobux.com,0,0,0,1
51,xhamster.com,0,0,1,0
52,imgur.com,0,0,1,1
53,google.com.hk,1,1,1,0
54,google.com.mx,1,1,1,0
55,ifeng.com,0,0,0,1
56,stackoverflow.com,0,0,1,0
57,bbc.co.uk,0,0,0,0
58,blogger.com,1,1,1,0
59,fc2.com,0,0,0,0
60,adobe.com,0,0,0,0
61,go.com,0,0,0,0
62,google.ca,1,1,1,0
63,cnn.com,0,0,0,1
64,reddit.com,0,0,1,1
65,adcash.com,0,0,1,1
66,people.com.cn,0,0,0,0
67,alipay.com,0,0,0,0
68,vube.com,0,0,1,0
69,conduit.com,0,0,0,1
70,odnoklassniki.ru,0,0,0,0
71,gmw.cn,0,0,0,0
72,wordpress.org,0,0,0,0
73,akamaihd.net,0,0,0,0
74,youku.com,0,0,0,0
75,t.co,0,0,0,1
76,googleusercontent.com,0,1,0,0
77,alibaba.com,0,0,0,0
78,huffingtonpost.com,0,0,0,1
79,aliexpress.com,0,0,0,0
80,google.com.tr,1,1,1,0
81,flickr.com,0,0,0,0
82,pornhub.com,0,0,0,0
83,ku6.com,0,0,0,0
84,godaddy.com,0,0,0,1
85,about.com,0,0,0,0
86,amazon.de,0,0,0,1
87,blogspot.in,1,1,0,0
88,ebay.de,0,0,0,1
89,google.com.au,1,1,1,0
90,thepiratebay.se,0,0,0,0
91,kickass.to,0,0,0,0
92,google.pl,1,1,1,0
93,netflix.com,0,1,1,1
94,bp.blogspot.com,0,0,0,0
95,espn.go.com,0,0,0,0
96,dailymotion.com,0,0,0,0
97,dailymail.co.uk,0,0,0,0
98,xinhuanet.com,0,0,0,0
99,rakuten.co.jp,0,0,0,1
100,vimeo.com,0,0,0,0
101,cnet.com,0,0,0,0
102,weather.com,0,0,1,0
103,indiatimes.com,0,0,0,1
104,xnxx.com,0,0,1,0
105,ebay.co.uk,0,0,0,1
106,amazon.co.uk,0,0,0,1
107,aol.com,0,1,0,0
108,youporn.com,0,0,0,1
109,redtube.com,0,0,1,1
110,themeforest.net,0,0,1,0
111,uol.com.br,1,1,0,0
112,google.com.sa,1,1,0,0
113,amazonaws.com,0,0,0,0
114,google.com.ar,1,1,1,0
115,secureserver.net,0,0,0,1
116,dropbox.com,0,0,1,0
117,google.com.eg,1,1,0,0
118,adf.ly,0,0,0,1
119,livejasmin.com,0,0,0,0
120,nytimes.com,0,0,1,1
121,china.com,0,0,0,0
122,globo.com,0,0,1,1
123,slideshare.net,0,0,1,1
124,pixnet.net,0,0,1,1
125,ameblo.jp,0,0,0,0
126,google.nl,1,1,1,0
127,booking.com,0,0,0,0
128,google.com.pk,1,1,1,0
129,mozilla.org,1,1,0,1
130,wikimedia.org,1,1,1,0
131,deviantart.com,0,0,1,1
132,buzzfeed.com,0,0,1,0
133,wikia.com,0,0,0,1
134,directrev.com,0,0,1,0
135,google.com.tw,1,1,0,0
136,fiverr.com,0,0,1,1
137,livejournal.com,0,0,0,0
138,sogou.com,0,0,0,0
139,blogfa.com,0,0,0,0
140,yelp.com,0,0,1,1
141,hootsuite.com,0,0,1,0
142,outbrain.com,0,0,1,1
143,etsy.com,0,0,1,1
144,google.co.th,1,1,0,0
145,flipkart.com,1,1,1,1
146,wikihow.com,0,0,1,1
147,badoo.com,0,0,0,0
148,google.co.za,1,1,1,0
149,livedoor.com,0,0,0,1
150,m2newmedia.com,0,0,1,1
151,avg.com,0,0,0,1
152,4shared.com,0,0,0,0
153,stumbleupon.com,0,0,1,1
154,torrentz.eu,0,0,0,0
155,forbes.com,0,0,0,1
156,mediafire.com,0,0,1,0
157,soundcloud.com,0,0,1,1
158,w3schools.com,0,0,1,0
159,china.com.cn,0,0,0,0
160,ask.fm,0,0,1,0
161,bankofamerica.com,0,0,0,0
162,files.wordpress.com,0,0,0,0
163,sourceforge.net,0,0,0,1
164,google.co.ve,1,1,0,0
165,archive.org,0,0,0,1
166,addthis.com,0,0,1,1
167,sharelive.net,0,0,0,1
168,theguardian.com,0,0,0,1
169,liveinternet.ru,0,0,1,0
170,foxnews.com,0,0,0,1
171,aweber.com,0,0,0,0
172,chase.com,0,0,0,0
173,indeed.com,0,0,1,1
174,softonic.com,0,0,0,0
175,hostgator.com,0,0,0,1
176,clkmon.com,0,0,1,1
177,jd.com,0,0,0,0
178,skype.com,0,0,0,1
179,salesforce.com,0,0,0,1
180,google.gr,1,1,1,0
181,gameforge.com,0,0,0,0
182,answers.com,0,0,0,1
183,google.co.id,1,1,0,0
184,statcounter.com,0,0,0,1
185,google.com.co,1,1,0,0
186,naver.com,0,0,0,0
187,bet365.com,0,0,0,1
188,github.com,0,0,1,1
189,tube8.com,0,0,0,0
190,allegro.pl,0,0,0,0
191,nicovideo.jp,0,0,0,0
192,google.be,1,1,1,0
193,google.com.vn,1,1,1,0
194,onet.pl,0,0,0,1
195,spiegel.de,0,0,0,1
196,reference.com,0,0,0,0
197,espncricinfo.com,0,0,0,0
198,it168.com,0,0,0,0
199,walmart.com,0,0,0,1
200,pcpop.com,0,0,0,0
201,google.com.ua,1,1,1,0
202,google.com.ng,1,1,0,0
203,stackexchange.com,0,0,1,0
204,java.com,0,1,0,1
205,media.tumblr.com,0,0,0,0
206,goo.ne.jp,0,0,0,0
207,wellsfargo.com,0,0,0,0
208,so.com,0,0,0,0
209,babylon.com,0,0,0,1
210,39.net,0,0,0,0
211,gamer.com.tw,0,0,1,0
212,tripadvisor.com,0,0,0,1
213,photobucket.com,0,0,0,1
214,bild.de,0,0,0,0
215,mashable.com,0,0,1,1
216,mailchimp.com,0,0,1,1
217,zillow.com,0,0,0,1
218,google.ro,1,1,1,0
219,thefreedictionary.com,0,0,1,0
220,warriorforum.com,0,0,0,1
221,wix.com,0,0,1,1
222,rutracker.org,0,0,0,0
223,google.se,1,1,1,0
224,naver.jp,0,0,0,0
225,loading-delivery1.com,0,0,0,0
226,ups.com,0,0,0,1
227,zedo.com,0,0,1,1
228,wsj.com,0,0,0,0
229,weebly.com,0,0,1,1
230,shutterstock.com,0,0,1,1
231,popads.net,0,0,1,1
232,google.dz,1,1,0,0
233,developunit.info,0,0,0,1
234,wordreference.com,0,0,1,1
235,leboncoin.fr,0,0,0,0
236,telegraph.co.uk,0,0,0,1
237,taringa.net,0,0,1,0
238,google.at,1,1,1,0
239,bleacherreport.com,0,0,0,0
240,pandora.com,0,0,0,1
241,amazon.fr,0,0,0,1
242,goodreads.com,0,0,1,1
243,google.com.ph,1,1,1,0
244,ikea.com,0,0,0,0
245,gmx.net,0,0,0,1
246,kaskus.co.id,0,0,0,0
247,ucoz.ru,0,0,0,0
248,rediff.com,0,0,0,1
249,tianya.cn,0,0,0,0
250,dmm.co.jp,0,0,0,0
251,xcar.com.cn,0,0,0,0
252,baomihua.com,0,0,0,0
253,huanqiu.com,0,0,0,0
254,goal.com,0,0,1,0
255,google.com.pe,1,1,1,0
256,usps.com,0,1,0,0
257,ettoday.net,0,0,0,0
258,rambler.ru,0,0,0,1
259,hurriyet.com.tr,0,0,0,0
260,php.net,0,0,0,0
261,delta-search.com,0,0,1,1
262,wp.pl,0,0,0,1
263,google.ch,1,1,1,0
264,comcast.net,0,1,1,1
265,businessinsider.com,0,0,1,1
266,ndtv.com,0,0,0,1
267,nbcnews.com,0,0,0,0
268,pchome.net,0,0,0,0
269,google.cl,1,1,0,0
270,uploaded.net,0,0,0,1
271,chinaz.com,0,0,0,0
272,domaintools.com,0,0,1,1
273,9gag.com,0,0,1,0
274,avito.ru,0,0,1,1
275,usatoday.com,0,0,0,1
276,moz.com,0,0,1,1
277,extratorrent.cc,0,0,1,1
278,thefreecamsecret.com,0,0,0,0
279,samsung.com,0,0,0,0
280,fedex.com,0,0,0,1
281,google.com.bd,1,1,0,0
282,google.pt,1,1,1,0
283,google.com.sg,1,1,0,0
284,4dsply.com,0,0,0,0
285,web.de,0,0,0,1
286,enet.com.cn,0,0,0,0
287,ehow.com,0,0,0,1
288,bitauto.com,0,0,0,0
289,xywy.com,0,0,0,0
290,goodgamestudios.com,0,0,1,0
291,orange.fr,0,1,0,0
292,yesky.com,0,0,0,0
293,hp.com,0,0,0,0
294,codecanyon.net,0,0,1,0
295,quikr.com,0,0,1,1
296,disqus.com,0,0,1,1
297,olx.in,0,0,0,1
298,milliyet.com.tr,0,0,0,0
299,mercadolivre.com.br,0,0,1,0
300,google.ae,1,1,1,0
301,amazon.cn,0,0,0,0
302,qtrax.com,0,1,0,0
303,free.fr,1,1,0,1
304,iqiyi.com,0,0,0,0
305,bitly.com,0,0,1,1
306,snapdo.com,0,0,0,1
307,snapdeal.com,0,0,1,1
308,caijing.com.cn,0,0,0,0
309,libero.it,0,0,0,0
310,twitch.tv,0,0,1,1
311,bestbuy.com,0,0,0,1
312,onclickads.net,0,0,0,1
313,washingtonpost.com,0,0,0,1
314,varzesh3.com,0,0,0,0
315,mobile01.com,0,0,1,0
316,google.cz,1,1,0,0
317,chaturbate.com,0,0,0,1
318,scribd.com,0,0,1,1
319,constantcontact.com,0,0,0,1
320,viralnova.com,0,0,0,1
321,in.com,0,0,0,0
322,coccoc.com,0,0,0,0
323,mywebsearch.com,0,0,0,0
324,detik.com,0,0,1,1
325,hulu.com,0,0,0,1
326,motherless.com,0,0,0,0
327,nba.com,0,0,0,0
328,speedtest.net,0,0,0,1
329,meetup.com,0,0,0,1
330,clickbank.com,0,0,0,0
331,nih.gov,0,0,1,1
332,hardsextube.com,0,0,0,0
333,accuweather.com,0,0,0,0
334,webmd.com,0,0,0,1
335,putlocker.com,0,0,0,1
336,beeg.com,0,0,1,0
337,youjizz.com,0,0,0,0
338,tmz.com,0,0,0,0
339,intuit.com,0,0,0,0
