#,DomainName,DomainInterval,HostInterval,MXInterval,NSInterval
1,google.com,0.014,0.004,0.106,0.02
2,facebook.com,0.004,0.004,0.126,0.218
3,youtube.com,0.004,0.004,0.044,0.012
4,yahoo.com,0.004,0.007,0.09,0.211
5,baidu.com,0.003,0.496,2.619,4.24
6,wikipedia.org,0.007,0.009,0.335,0.013
7,qq.com,0.462,0.004,70.433,68.025
8,live.com,0.003,0.036,0.196,0.087
9,taobao.com,0.359,0.004,0.566,0.017
10,linkedin.com,0.003,0.011,0.067,0.115
11,sina.com.cn,0.426,0.015,2.603,0.341
12,twitter.com,0.003,0.003,0.072,0.066
13,amazon.com,0.017,0.003,0.079,0.125
14,hao123.com,0.346,0.445,0.329,0.881
15,google.co.in,0.01,0.004,0.043,0.015
16,blogspot.com,0.01,0.004,0.009,0.017
17,weibo.com,0.344,0.003,0.689,1.846
18,163.com,0.003,0.004,0.985,0.843
19,wordpress.com,0.004,0.003,0.063,0.221
20,yahoo.co.jp,0.253,1.032,1.336,0.017
21,bing.com,0.028,0.003,0.126,0.055
22,tmall.com,0.433,0.004,0.607,1.822
23,360.cn,0.848,0.483,0.701,0.02
24,yandex.ru,0.003,0.003,0.038,0.012
25,vk.com,0.007,0.058,0.111,0.021
26,ebay.com,0.011,0.167,0.049,0.752
27,google.de,0.006,0.005,0.055,0.016
28,sohu.com,0.436,0.754,1.671,1.804
29,pinterest.com,0.003,0.003,0.036,0.033
30,ask.com,0.039,0.117,0.089,0.151
31,msn.com,0.003,0.035,0.067,0.043
32,google.co.uk,0.023,0.023,0.037,0.009
33,soso.com,0.394,30.001,34.658,61.047
34,google.fr,0.023,0.023,0.109,0.014
35,tumblr.com,0.022,0.003,0.103,0.034
36,google.co.jp,0.013,0.025,0.03,0.015
37,mail.ru,0.074,0.061,0.131,0.023
38,instagram.com,0.005,0.033,0.081,0.116
39,microsoft.com,0.004,0.005,0.088,0.013
40,google.com.br,0.024,0.013,0.041,0.017
41,xvideos.com,0.004,0.03,0.057,0.105
42,google.ru,0.022,0.023,0.136,0.016
43,paypal.com,0.029,0.021,0.031,0.037
44,imdb.com,0.003,0.105,0.108,0.045
45,apple.com,0.002,0.01,0.298,0.296
46,google.es,0.023,0.023,0.022,0.009
47,google.it,0.024,0.003,0.036,0.015
48,amazon.co.jp,0.01,0.004,0.062,0.08
49,craigslist.org,0.162,5.069,0.477,0.017
50,neobux.com,0.003,0.024,0.024,0.029
51,xhamster.com,0.004,0.039,0.064,0.009
52,imgur.com,0.004,0.031,0.037,0.009
53,google.com.hk,0.011,0.02,0.037,0.014
54,google.com.mx,0.02,0.012,0.04,0.009
55,ifeng.com,0.511,3.218,1.109,0.029
56,stackoverflow.com,0.003,0.096,0.13,0.013
57,bbc.co.uk,0.023,0.019,0.075,0.027
58,blogger.com,0.022,0.012,0.082,0.014
59,fc2.com,0.003,0.003,0.006,0.122
60,adobe.com,0.162,0.003,0.185,0.022
61,go.com,0.003,0.25,0.371,0.017
62,google.ca,0.021,0.02,0.044,0.014
63,cnn.com,0.016,0.017,0.152,0.063
64,reddit.com,0.004,0.005,0.065,0.092
65,adcash.com,0.004,0.003,0.045,0.049
66,people.com.cn,0.699,0.005,0.093,0.307
67,alipay.com,0.598,0.595,0.65,4.14
68,vube.com,0.176,0.177,0.223,0.009
69,conduit.com,0.029,0.009,0.163,0.064
70,odnoklassniki.ru,0.003,0.003,0.248,0.068
71,gmw.cn,0.365,0.783,1.141,0.784
72,wordpress.org,0.003,0.003,0.007,0.011
73,akamaihd.net,0.009,0.012,0.052,0.262
74,youku.com,0.272,0.271,1.258,1.083
75,t.co,0.003,0.009,0.009,0.024
76,googleusercontent.com,0.021,0.026,0.02,0.016
77,alibaba.com,0.161,0.002,0.472,0.017
78,huffingtonpost.com,0.021,0.004,0.501,0.392
79,aliexpress.com,0.157,0.159,1.425,0.015
80,google.com.tr,0.021,0.021,0.051,0.013
81,flickr.com,0.143,0.005,0.08,0.186
82,pornhub.com,0.004,0.003,0.085,0.064
83,ku6.com,0.343,0.691,0.836,1.667
84,godaddy.com,0.107,0.113,0.222,0.022
85,about.com,0.132,0.003,0.175,0.751
86,amazon.de,0.017,0.003,0.028,0.042
87,blogspot.in,0.023,0.023,0.02,0.034
88,ebay.de,0.003,0.004,0.031,0.028
89,google.com.au,0.024,0.023,0.055,0.016
90,thepiratebay.se,0.026,0.026,0.062,0.091
91,kickass.to,0.003,0.022,0.088,0.009
92,google.pl,0.023,0.022,0.054,0.016
93,netflix.com,0.017,0.053,0.112,0.039
94,bp.blogspot.com,0.02,0.026,0.02,0.018
95,espn.go.com,0.118,0.231,0.12,0.119
96,dailymotion.com,0.003,0.003,0.283,0.009
97,dailymail.co.uk,0.035,0.049,0.059,0.072
98,xinhuanet.com,0.004,0.766,0.279,0.937
99,rakuten.co.jp,0.289,0.27,0.48,1.09
100,vimeo.com,0.003,0.029,0.249,0.141
101,cnet.com,0.018,0.025,0.284,0.043
102,weather.com,0.134,0.01,0.157,0.148
103,indiatimes.com,0.016,0.018,0.019,0.023
104,xnxx.com,0.005,0.004,0.233,0.025
105,ebay.co.uk,0.012,0.179,0.19,0.045
106,amazon.co.uk,0.012,0.051,0.043,0.1
107,aol.com,0.02,0.318,0.23,0.016
108,youporn.com,0.003,0.003,0.029,0.061
109,redtube.com,0.028,0.004,0.068,0.012
110,themeforest.net,0.068,0.033,0.058,0.109
111,uol.com.br,0.257,0.258,0.262,0.014
